"Период","Прямые заходы","Переходы из поисковых систем","Переходы из социальных сетей","Переходы по ссылкам на сайтах"
"2022-06-28","0","3","0","0"
"2022-06-29","0","0","0","0"
"2022-06-30","0","0","0","0"
"2022-07-01","0","0","0","0"
"2022-07-02","0","0","0","0"
"2022-07-03","0","0","0","0"
"2022-07-04","0","0","0","0"
"2022-07-05","0","1","0","0"
"2022-07-06","13","2","0","0"
"2022-07-07","14","6","0","0"
"2022-07-08","17","3","0","0"
"2022-07-09","19","1","0","0"
"2022-07-10","16","1","0","0"
"2022-07-11","21","8","0","0"
"2022-07-12","23","14","0","0"
"2022-07-13","24","9","0","1"
"2022-07-14","24","9","0","0"
"2022-07-15","10","11","0","0"
"2022-07-16","4","7","0","0"
"2022-07-17","2","7","0","0"
"2022-07-18","7","16","0","0"
"2022-07-19","5","13","0","0"
"2022-07-20","10","12","0","1"
"2022-07-21","11","7","0","0"
"2022-07-22","14","11","0","0"
"2022-07-23","12","8","0","0"
"2022-07-24","12","9","0","0"
"2022-07-25","11","24","1","0"
"2022-07-26","14","16","0","1"
"2022-07-27","17","16","0","0"
"2022-07-28","8","32","0","0"
"2022-07-29","20","7","0","0"
"2022-07-30","14","10","0","0"
"2022-07-31","14","7","0","0"
"2022-08-01","19","29","0","0"
"2022-08-02","18","26","0","0"
"2022-08-03","7","15","0","0"
"2022-08-04","10","18","0","0"
"2022-08-05","13","15","0","0"
"2022-08-06","12","11","0","0"
"2022-08-07","16","7","0","0"
"2022-08-08","16","28","0","0"
"2022-08-09","17","23","1","1"
"2022-08-10","10","26","0","1"
"2022-08-11","9","20","0","0"
"2022-08-12","9","17","2","0"
"2022-08-13","10","8","1","0"
"2022-08-14","14","8","0","0"
"2022-08-15","15","23","0","0"
"2022-08-16","15","24","1","0"
"2022-08-17","9","19","0","1"
"2022-08-18","15","22","0","0"
"2022-08-19","12","20","0","0"
"2022-08-20","16","6","0","0"
"2022-08-21","16","11","0","0"
"2022-08-22","7","22","0","0"
"2022-08-23","14","19","0","0"
"2022-08-24","9","15","0","0"
"2022-08-25","28","27","0","0"
"2022-08-26","14","13","0","0"
"2022-08-27","6","13","0","0"
"2022-08-28","9","18","0","0"
"2022-08-29","15","18","0","1"
"2022-08-30","10","25","0","2"
"2022-08-31","11","22","0","1"
"2022-09-01","19","12","0","0"
"2022-09-02","12","23","0","1"
"2022-09-03","17","7","0","0"
"2022-09-04","16","21","0","0"
"2022-09-05","7","16","0","1"
"2022-09-06","16","18","0","1"
"2022-09-07","15","15","0","1"
"2022-09-08","18","33","0","0"
"2022-09-09","14","19","0","1"
"2022-09-10","14","16","0","0"
"2022-09-11","13","20","0","0"
"2022-09-12","18","21","2","1"
"2022-09-13","9","17","0","0"
"2022-09-14","19","27","0","0"
"2022-09-15","12","22","0","0"
"2022-09-16","7","13","0","0"
"2022-09-17","18","9","0","1"
"2022-09-18","8","17","0","0"
"2022-09-19","12","23","1","0"
"2022-09-20","19","24","0","0"
"2022-09-21","14","14","0","0"
"2022-09-22","12","27","0","0"
"2022-09-23","14","23","0","0"
"2022-09-24","7","8","0","0"
"2022-09-25","11","17","0","1"
"2022-09-26","13","17","0","0"
"2022-09-27","19","20","1","0"
"2022-09-28","14","17","0","1"
"2022-09-29","13","15","1","0"
"2022-09-30","19","14","0","1"
"2022-10-01","20","8","0","0"
"2022-10-02","9","16","0","1"
"2022-10-03","15","15","0","1"
"2022-10-04","17","20","0","0"
"2022-10-05","12","10","0","0"
"2022-10-06","8","18","0","1"
"2022-10-07","16","16","0","0"
"2022-10-08","16","9","0","0"
"2022-10-09","9","11","0","0"
"2022-10-10","15","14","0","1"
"2022-10-11","23","12","0","0"
"2022-10-12","10","21","0","0"
"2022-10-13","22","17","0","0"
"2022-10-14","13","17","0","0"
"2022-10-15","15","15","0","0"
"2022-10-16","15","9","0","0"
"2022-10-17","13","18","0","0"
"2022-10-18","16","25","0","0"
"2022-10-19","21","19","0","1"
"2022-10-20","11","19","0","1"
"2022-10-21","16","14","0","0"
"2022-10-22","14","17","1","0"
"2022-10-23","16","5","1","0"
"2022-10-24","11","15","0","0"
"2022-10-25","15","17","0","0"
"2022-10-26","13","12","0","1"
"2022-10-27","12","4","0","1"
"2022-10-28","18","21","0","1"
"2022-10-29","12","10","0","0"
"2022-10-30","11","11","0","0"
"2022-10-31","14","17","0","0"
"2022-11-01","16","18","0","0"
"2022-11-02","24","16","1","0"
"2022-11-03","12","21","0","0"
"2022-11-04","10","14","0","0"
"2022-11-05","19","10","0","0"
"2022-11-06","24","8","1","0"
"2022-11-07","17","12","2","0"
"2022-11-08","15","24","0","0"
"2022-11-09","21","13","1","0"
"2022-11-10","18","17","0","0"
"2022-11-11","19","18","0","0"
"2022-11-12","25","11","0","0"
"2022-11-13","16","14","1","0"
"2022-11-14","23","21","0","0"
"2022-11-15","36","17","0","1"
"2022-11-16","17","21","0","0"
"2022-11-17","17","16","0","0"
"2022-11-18","18","12","0","2"
"2022-11-19","19","9","0","0"
"2022-11-20","20","14","1","0"
"2022-11-21","17","16","0","0"
"2022-11-22","14","19","0","0"
"2022-11-23","18","20","3","2"
"2022-11-24","22","18","3","0"
"2022-11-25","19","13","1","0"
"2022-11-26","21","16","2","0"
"2022-11-27","14","14","4","1"
"2022-11-28","17","16","1","0"
"2022-11-29","16","17","1","0"
"2022-11-30","25","17","0","0"
"2022-12-01","14","18","0","0"
"2022-12-02","16","21","0","0"
"2022-12-03","14","15","0","0"
"2022-12-04","15","13","1","0"
"2022-12-05","22","18","1","0"
"2022-12-06","17","22","1","0"
"2022-12-07","24","19","0","1"
"2022-12-08","21","17","0","0"
"2022-12-09","32","18","0","2"
"2022-12-10","34","9","2","0"
"2022-12-11","28","11","0","0"
"2022-12-12","21","18","0","0"
"2022-12-13","21","28","0","0"
"2022-12-14","36","24","1","2"
"2022-12-15","38","13","0","0"
"2022-12-16","33","14","2","0"
"2022-12-17","34","8","0","0"
"2022-12-18","35","11","2","0"
"2022-12-19","32","19","1","0"
"2022-12-20","44","8","1","1"
"2022-12-21","43","19","0","1"
"2022-12-22","28","9","0","0"
"2022-12-23","44","7","0","0"
"2022-12-24","43","6","0","1"
"2022-12-25","32","8","1","0"
"2022-12-26","53","10","0","0"
"2022-12-27","34","16","0","0"
"2022-12-28","41","18","0","0"
"2022-12-29","41","14","1","0"
"2022-12-30","47","4","0","0"
"2022-12-31","34","1","0","0"
"2023-01-01","28","5","0","0"
"2023-01-02","49","9","0","0"
"2023-01-03","50","19","1","0"
"2023-01-04","40","15","0","0"
"2023-01-05","52","9","0","0"
"2023-01-06","33","16","0","0"
"2023-01-07","45","22","1","0"
"2023-01-08","40","10","0","0"
"2023-01-09","56","28","0","0"
"2023-01-10","37","20","3","1"
"2023-01-11","51","25","3","0"
"2023-01-12","46","18","0","0"
"2023-01-13","32","6","1","0"
"2023-01-14","40","14","0","0"
"2023-01-15","39","15","1","1"
"2023-01-16","52","34","0","1"
"2023-01-17","42","18","0","0"
"2023-01-18","39","15","1","0"
"2023-01-19","40","27","0","0"
"2023-01-20","39","21","0","1"
"2023-01-21","36","10","1","0"
"2023-01-22","46","19","0","1"
"2023-01-23","44","13","4","0"
"2023-01-24","36","21","0","0"
"2023-01-25","52","17","1","1"
"2023-01-26","43","27","1","3"
"2023-01-27","49","22","1","1"
"2023-01-28","37","14","0","0"
"2023-01-29","45","17","0","0"
"2023-01-30","33","22","0","1"
"2023-01-31","30","19","0","2"
"2023-02-01","41","16","0","0"
"2023-02-02","30","17","0","2"
"2023-02-03","28","15","0","1"
"2023-02-04","27","15","0","0"
"2023-02-05","27","7","2","0"
"2023-02-06","37","21","1","0"
"2023-02-07","37","21","0","5"
"2023-02-08","31","19","0","1"
"2023-02-09","29","25","2","1"
"2023-02-10","38","18","2","0"
"2023-02-11","41","13","1","0"
"2023-02-12","35","22","0","0"
"2023-02-13","46","24","0","2"
"2023-02-14","47","20","0","2"
"2023-02-15","46","16","0","0"
"2023-02-16","45","18","0","0"
"2023-02-17","39","17","1","0"
"2023-02-18","19","10","0","0"
"2023-02-19","28","20","0","0"
"2023-02-20","33","23","0","1"
"2023-02-21","38","13","0","2"
"2023-02-22","43","15","1","2"
"2023-02-23","31","7","0","1"
"2023-02-24","32","10","0","1"
"2023-02-25","23","12","0","0"
"2023-02-26","38","14","0","0"
"2023-02-27","39","15","3","2"
"2023-02-28","45","14","0","0"
"2023-03-01","31","30","0","1"
"2023-03-02","24","17","0","1"
"2023-03-03","27","18","1","0"
"2023-03-04","33","18","0","0"
"2023-03-05","37","15","0","0"
"2023-03-06","28","24","0","1"
"2023-03-07","30","8","0","0"
"2023-03-08","18","5","0","0"
"2023-03-09","29","15","0","0"
"2023-03-10","25","20","0","0"
"2023-03-11","23","12","0","0"
"2023-03-12","18","19","1","0"
"2023-03-13","24","16","0","0"
"2023-03-14","36","15","0","0"
"2023-03-15","30","19","0","0"
"2023-03-16","36","16","0","0"
"2023-03-17","39","23","0","0"
"2023-03-18","53","4","0","2"
"2023-03-19","39","15","0","0"
"2023-03-20","38","15","0","0"
"2023-03-21","42","14","0","0"
"2023-03-22","31","16","0","0"
"2023-03-23","41","22","0","1"
"2023-03-24","47","18","0","2"
"2023-03-25","20","15","0","0"
"2023-03-26","30","18","0","0"
"2023-03-27","36","22","0","0"
"2023-03-28","39","22","0","1"
"2023-03-29","46","25","0","1"
"2023-03-30","40","18","0","1"
"2023-03-31","22","15","0","0"
"2023-04-01","28","12","0","0"
"2023-04-02","41","15","0","0"
"2023-04-03","34","24","0","0"
"2023-04-04","37","28","0","0"
"2023-04-05","45","23","0","1"
"2023-04-06","39","24","0","0"
"2023-04-07","48","15","0","0"
"2023-04-08","34","12","0","0"
"2023-04-09","36","18","0","0"
"2023-04-10","37","22","0","2"
"2023-04-11","32","35","0","0"
"2023-04-12","33","16","1","2"
"2023-04-13","35","20","0","1"
"2023-04-14","39","20","0","0"
"2023-04-15","37","14","0","0"
"2023-04-16","21","7","0","0"
"2023-04-17","42","18","0","1"
"2023-04-18","24","18","0","0"
"2023-04-19","25","12","0","2"
"2023-04-20","35","31","0","0"
"2023-04-21","16","24","0","1"
"2023-04-22","18","18","0","0"
"2023-04-23","17","12","0","0"
"2023-04-24","10","23","1","1"
"2023-04-25","18","22","0","0"
"2023-04-26","20","13","0","0"
"2023-04-27","19","20","0","0"
"2023-04-28","20","23","0","0"
"2023-04-29","13","6","0","0"
"2023-04-30","20","11","0","0"
"2023-05-01","9","14","0","0"
"2023-05-02","16","14","0","0"
"2023-05-03","9","15","1","0"
"2023-05-04","2","16","1","0"
"2023-05-05","11","19","0","0"
"2023-05-06","7","5","0","0"
"2023-05-07","17","13","0","0"
"2023-05-08","5","10","0","0"
"2023-05-09","8","10","4","0"
"2023-05-10","7","20","3","0"
"2023-05-11","12","13","5","1"
"2023-05-12","7","18","1","0"
"2023-05-13","4","13","1","0"
"2023-05-14","5","14","0","0"
"2023-05-15","3","18","0","0"
