"Период","Переходы из поисковых систем","Прямые заходы","Переходы из социальных сетей","Переходы по ссылкам на сайтах"
"2023-04-01","12","28","0","0"
"2023-04-02","15","41","0","0"
"2023-04-03","24","34","0","0"
"2023-04-04","28","37","0","0"
"2023-04-05","23","45","0","1"
"2023-04-06","24","39","0","0"
"2023-04-07","15","48","0","0"
"2023-04-08","12","34","0","0"
"2023-04-09","18","36","0","0"
"2023-04-10","22","37","0","2"
"2023-04-11","35","32","0","0"
"2023-04-12","16","33","1","2"
"2023-04-13","20","35","0","1"
"2023-04-14","20","39","0","0"
"2023-04-15","14","37","0","0"
"2023-04-16","7","21","0","0"
"2023-04-17","18","42","0","1"
"2023-04-18","18","24","0","0"
"2023-04-19","12","25","0","2"
"2023-04-20","31","35","0","0"
"2023-04-21","24","16","0","1"
"2023-04-22","18","18","0","0"
"2023-04-23","12","17","0","0"
"2023-04-24","23","10","1","1"
"2023-04-25","22","18","0","0"
"2023-04-26","13","20","0","0"
"2023-04-27","20","19","0","0"
"2023-04-28","23","20","0","0"
"2023-04-29","6","13","0","0"
"2023-04-30","11","20","0","0"
"2023-05-01","14","9","0","0"
"2023-05-02","14","16","0","0"
"2023-05-03","15","9","1","0"
"2023-05-04","16","2","1","0"
"2023-05-05","19","11","0","0"
"2023-05-06","5","7","0","0"
"2023-05-07","13","17","0","0"
"2023-05-08","10","5","0","0"
"2023-05-09","10","8","4","0"
"2023-05-10","20","7","3","0"
"2023-05-11","13","12","5","1"
"2023-05-12","18","7","1","0"
"2023-05-13","13","4","1","0"
"2023-05-14","14","5","0","0"
"2023-05-15","18","3","0","0"
"2023-05-16","24","6","2","0"
"2023-05-17","30","7","0","0"
"2023-05-18","19","11","0","0"
"2023-05-19","27","5","1","0"
"2023-05-20","17","5","0","0"
"2023-05-21","14","4","0","0"
"2023-05-22","25","4","0","0"
"2023-05-23","35","7","0","0"
"2023-05-24","16","5","0","0"
"2023-05-25","34","11","0","1"
"2023-05-26","21","5","1","0"
"2023-05-27","8","3","0","0"
"2023-05-28","20","7","0","1"
"2023-05-29","21","10","0","0"
"2023-05-30","22","6","0","0"
"2023-05-31","20","3","1","0"
"2023-06-01","19","6","0","0"
"2023-06-02","17","9","0","1"
"2023-06-03","15","2","0","0"
"2023-06-04","17","7","0","0"
"2023-06-05","30","8","0","0"
"2023-06-06","23","2","0","0"
"2023-06-07","29","4","0","0"
"2023-06-08","17","6","0","0"
"2023-06-09","11","3","0","0"
"2023-06-10","7","3","0","0"
"2023-06-11","9","1","0","0"
"2023-06-12","10","2","0","0"
"2023-06-13","21","3","0","0"
"2023-06-14","23","2","0","0"
"2023-06-15","21","6","0","1"
"2023-06-16","14","6","1","1"
"2023-06-17","10","4","0","0"
"2023-06-18","18","1","0","0"
"2023-06-19","20","3","0","0"
"2023-06-20","16","3","1","0"
"2023-06-21","22","5","1","0"
"2023-06-22","11","4","2","1"
"2023-06-23","14","3","1","0"
"2023-06-24","3","1","0","0"
"2023-06-25","5","5","1","0"
"2023-06-26","20","2","1","0"
"2023-06-27","15","3","0","0"
